review_id,customer_name,rating,review_text,sentiment
88,User 88,4,Decent results. The model output was accurate enough for case 88.,Positive
89,User 89,4,Decent results. The model output was accurate enough for case 89.,Positive
90,User 90,,   ,Neutral
91,User 91,2,Worst experience ever. The module crashed.,Negative
92,User 92,4,Decent results. The model output was accurate enough for case 92.,Positive
93,User 93,5,Excellent AI tool! Version 93 works like magic.,Positive
94,User 94,4,Decent results. The model output was accurate enough for case 94.,Positive
95,User 95,4,Decent results. The model output was accurate enough for case 95.,Positive
96,User 96,5,Excellent AI tool! Version 96 works like magic.,Positive
97,User 97,4,Decent results. The model output was accurate enough for case 97.,Positive
98,User 98,2,Worst experience ever. The module crashed.,Negative
99,User 99,5,Excellent AI tool! Version 99 works like magic.,Positive
100,User 100,,   ,Neutral
